# touch_raw — no calibration, no bezel
# panel 800x480  drawn == panel coordinates
# hardware raw range (in use): X[0..4095] Y[0..4095]
# stored calibration (IGNORED): X[0..4095] Y[0..4095]
# stored bezel (IGNORED): T=11 B=14 L=0 R=0
# L ms raw_x raw_y panel_x panel_y pinmask
# T ms idx target_x target_y raw_x raw_y
# B ms edge raw_x raw_y
# S ms edge bucket raw_x raw_y            edge-sweep sample
# I ms edge bar_panel tap raw_x raw_y     inward-step tap
L 18913 1260 3800 245 444 0
L 26391 156 4095 30 479 8
L 26452 211 4095 41 479 8
L 26482 239 4095 46 479 8
L 26571 352 4095 68 479 8
L 26601 391 4095 76 479 8
L 26631 413 4095 80 479 8
L 26691 440 4095 85 479 8
L 26721 453 4095 88 479 8
L 26808 520 4095 101 479 8
L 26838 579 4095 112 479 8
L 26867 601 4095 117 479 8
L 26926 612 4095 119 479 8
L 26956 635 4095 123 479 8
L 26985 677 4095 132 479 8
L 27044 730 4095 142 479 8
L 27074 756 4095 147 479 8
L 27105 801 4095 156 479 8
L 27165 844 4095 164 479 8
L 27194 889 4095 173 479 8
L 27224 920 4095 179 479 8
L 27283 949 4095 185 479 8
L 27313 988 4095 192 479 8
L 27342 1033 4095 201 479 8
L 27401 1056 4095 206 479 8
L 27431 1089 4095 212 479 8
L 27491 1106 4095 215 479 8
L 27521 1136 4095 221 479 8
L 27551 1171 4095 228 479 8
L 27611 1215 4095 237 479 8
L 27671 1276 4095 248 479 8
L 27731 1291 4095 251 479 8
L 27761 1309 4095 255 479 8
L 27792 1328 4095 259 479 8
L 27907 1436 4095 280 479 8
L 27936 1475 4095 287 479 8
L 28025 1536 4095 299 479 8
L 28171 1624 4095 316 479 8
L 28228 1664 4095 324 479 8
L 28511 1872 4095 365 479 8
L 28654 1984 4095 387 479 8
L 28908 2156 4095 420 479 8
L 28967 2207 4095 430 479 8
L 29026 2231 4095 435 479 8
L 29085 2261 4095 441 479 8
L 29116 2296 4095 447 479 8
L 29146 2327 4095 454 479 8
L 29205 2353 4095 459 479 8
L 29235 2382 4095 464 479 8
L 29323 2448 4095 477 479 8
L 29353 2519 4095 491 479 8
L 29442 2568 4095 501 479 8
L 29501 2607 4095 508 479 8
L 29531 2625 4095 512 479 8
L 29561 2650 4095 517 479 8
L 29621 2662 4095 519 479 8
L 29651 2676 4095 522 479 8
L 29682 2699 4095 526 479 8
L 29798 2812 4095 548 479 8
L 29828 2831 4095 552 479 8
L 29916 2841 4095 554 479 8
L 29946 2868 4095 559 479 8
L 30005 2881 4095 562 479 8
L 30035 2906 4095 567 479 8
L 30066 2932 4095 572 479 8
L 30127 2957 4095 576 479 8
L 30156 2970 4095 579 479 8
L 30186 2976 4095 580 479 8
L 30245 2999 4095 585 479 8
L 30274 3021 4095 589 479 8
L 30304 3040 4095 593 479 8
L 30363 3063 4095 597 479 8
L 30393 3095 4095 603 479 8
L 30422 3111 4095 607 479 8
L 30482 3129 4095 610 479 8
L 30512 3146 4095 613 479 8
L 30572 3170 4095 618 479 8
L 30602 3202 4095 624 479 8
L 30632 3218 4095 627 479 8
L 30691 3226 4095 629 479 8
L 30721 3252 4095 634 479 8
L 30751 3279 4095 639 479 8
L 30811 3293 4095 642 479 8
L 30841 3300 4095 643 479 8
L 30871 3317 4095 647 479 8
L 30931 3350 4095 653 479 8
L 30961 3366 4095 656 479 8
L 30991 3382 4095 659 479 8
L 31052 3400 4095 663 479 8
L 31081 3423 4095 667 479 8
L 31172 3484 4095 679 479 8
L 31201 3511 4095 685 479 8
L 31291 3535 4095 689 479 8
L 31321 3555 4095 693 479 8
L 31351 3585 4095 699 479 8
L 31411 3600 4095 702 479 8
L 31441 3631 4095 708 479 8
L 31471 3647 4095 711 479 8
L 31531 3655 4095 713 479 8
L 31561 3671 4095 716 479 8
L 31591 3689 4095 719 479 8
L 31651 3706 4095 723 479 8
L 31681 3724 4095 726 479 8
L 31711 3733 4095 728 479 8
L 31771 3756 4095 732 479 8
L 31801 3767 4095 735 479 8
L 31831 3781 4095 737 479 8
L 31921 3801 4095 741 479 8
L 31951 3812 4095 743 479 8
L 32011 3831 4095 747 479 8
L 32041 3841 4095 749 479 8
L 32071 3862 4095 753 479 8
L 32133 3886 4095 758 479 8
L 32162 3908 4095 762 479 8
L 32192 3919 4095 764 479 8
L 32251 3937 4095 768 479 8
L 32281 3938 4095 768 479 8
L 32311 3968 4095 774 479 8
L 32371 3993 4095 779 479 8
L 32401 4006 4095 781 479 8
L 32431 4024 4095 785 479 8
L 32491 4025 4095 785 479 8
L 32551 4080 4095 796 479 8
L 32611 4094 4095 798 479 8
L 32971 4095 4095 799 479 10
L 34224 4095 4081 799 477 2
L 34283 4095 4063 799 475 2
L 34313 4095 4054 799 474 2
L 34342 4095 4020 799 470 2
L 34401 4095 4003 799 468 2
L 34431 4095 3956 799 462 2
L 34491 4095 3933 799 460 2
L 34577 4095 3800 799 444 2
L 34636 4095 3785 799 442 2
L 34666 4095 3729 799 436 2
L 34695 4095 3715 799 434 2
L 34754 4095 3708 799 433 2
L 34784 4095 3673 799 429 2
L 34813 4095 3637 799 425 2
L 34872 4095 3601 799 421 2
L 34902 4095 3559 799 416 2
L 34961 4095 3538 799 413 2
L 34991 4095 3494 799 408 2
L 35021 4095 3418 799 399 2
L 35081 4095 3340 799 390 2
L 35111 4095 3335 799 390 2
L 35142 4095 3312 799 387 2
L 35201 4095 3285 799 384 2
L 35231 4095 3255 799 380 2
L 35346 4095 3096 799 362 2
L 35405 4095 3057 799 357 2
L 35435 4095 3037 799 355 2
L 35464 4095 3027 799 354 2
L 35523 4095 2982 799 348 2
L 35553 4095 2960 799 346 2
L 35582 4095 2939 799 343 2
L 35641 4095 2912 799 340 2
L 35671 4095 2899 799 339 2
L 35759 4095 2812 799 328 2
L 35789 4095 2757 799 322 2
L 35847 4095 2733 799 319 2
L 35877 4095 2721 799 318 2
L 35906 4095 2701 799 315 2
L 35965 4095 2671 799 312 2
L 35995 4095 2656 799 310 2
L 36025 4095 2649 799 309 2
L 36084 4095 2599 799 304 2
L 36113 4095 2574 799 301 2
L 36143 4095 2550 799 298 2
L 36202 4095 2538 799 296 2
L 36232 4095 2541 799 297 2
L 36291 4095 2488 799 291 2
L 36321 4095 2475 799 289 2
L 36351 4095 2446 799 286 2
L 36411 4095 2412 799 282 2
L 36441 4095 2381 799 278 2
L 36471 4095 2357 799 275 2
L 36531 4095 2311 799 270 2
L 36591 4095 2200 799 257 2
L 36651 4095 2181 799 255 2
L 36711 4095 2149 799 251 2
L 36771 4095 2133 799 249 2
L 36801 4095 2117 799 247 2
L 36832 4095 2077 799 242 2
L 36891 4095 2037 799 238 2
L 36921 4095 1995 799 233 2
L 36951 4095 1964 799 229 2
L 37011 4095 1933 799 226 2
L 37042 4095 1947 799 227 2
L 37072 4095 1911 799 223 2
L 37133 4095 1870 799 218 2
L 37162 4095 1834 799 214 2
L 37192 4095 1804 799 211 2
L 37251 4095 1779 799 208 2
L 37280 4095 1756 799 205 2
L 37311 4095 1727 799 202 2
L 37400 4095 1672 799 195 2
L 37460 4095 1637 799 191 2
L 37489 4095 1559 799 182 2
L 37520 4095 1520 799 177 2
L 37608 4095 1436 799 167 2
L 37637 4095 1413 799 165 2
L 37696 4095 1393 799 162 2
L 37726 4095 1367 799 159 2
L 37755 4095 1328 799 155 2
L 37844 4095 1216 799 142 2
L 37874 4095 1145 799 133 2
L 37933 4095 1133 799 132 2
L 37963 4095 1113 799 130 2
L 37993 4095 1075 799 125 2
L 38052 4095 1056 799 123 2
L 38081 4095 1007 799 117 2
L 38143 4095 942 799 110 2
L 38172 4095 902 799 105 2
L 38261 4095 796 799 93 2
L 38291 4095 745 799 87 2
L 38321 4095 731 799 85 2
L 38381 4095 684 799 80 2
L 38411 4095 637 799 74 2
S 38411 TOP 15 4095 637
L 38498 4095 524 799 61 2
S 38498 TOP 15 4095 524
L 38528 4095 457 799 53 2
S 38528 TOP 15 4095 457
L 38557 4095 425 799 49 2
S 38557 TOP 15 4095 425
S 38587 TOP 15 4095 425
L 38616 4095 373 799 43 2
S 38616 TOP 15 4095 373
L 38646 4095 337 799 39 2
S 38646 TOP 15 4095 337
L 38675 4095 303 799 35 2
S 38675 TOP 15 4095 303
S 38705 TOP 15 4095 303
L 38734 4095 266 799 31 2
S 38734 TOP 15 4095 266
L 38764 4095 238 799 27 2
S 38764 TOP 15 4095 238
L 38793 4095 216 799 25 2
S 38793 TOP 15 4095 216
S 38823 TOP 15 4095 216
L 38853 4095 147 799 17 2
S 38853 TOP 15 4095 147
L 38882 4095 112 799 13 2
S 38882 TOP 15 4095 112
S 38911 TOP 15 4095 112
L 38942 4095 79 799 9 2
S 38942 TOP 15 4095 79
L 38971 4095 40 799 4 2
S 38971 TOP 15 4095 40
L 39059 4095 0 799 0 6
S 39059 TOP 15 4095 0
S 39088 TOP 15 4095 0
S 39118 TOP 15 4095 0
S 39148 TOP 15 4095 0
S 39178 TOP 15 4095 0
S 39208 TOP 15 4095 0
S 39237 TOP 15 4095 0
S 39267 TOP 15 4095 0
S 39296 TOP 15 4095 0
S 39326 TOP 15 4095 0
S 39356 TOP 15 4095 0
S 39386 TOP 15 4095 0
S 39415 TOP 15 4095 0
S 39445 TOP 15 4095 0
S 39474 TOP 15 4095 0
S 39504 TOP 15 4095 0
S 39534 TOP 15 4095 0
S 39563 TOP 15 4095 0
S 39593 TOP 15 4095 0
S 39623 TOP 15 4095 0
S 39652 TOP 15 4095 0
S 39682 TOP 15 4095 0
S 39711 TOP 15 4095 0
S 39742 TOP 15 4095 0
S 39771 TOP 15 4095 0
S 39801 TOP 15 4095 0
