# touch_trace  screen=800x480  portrait=0
# raw_range X[-35..4167] Y[-233..4335]
# calib_enabled=1 raw_range X[-35..4167] Y[-233..4335]
# bezel(UI) T=15 B=15 L=0 R=0
# columns: raw_x raw_y cal_x cal_y est_x est_y
364 584 75 85 75 85
325 565 68 83 68 83
293 537 62 80 62 80
249 415 54 67 54 68
185 252 41 50 41 50
99 127 25 37 25 37
312 584 65 85 66 85
312 525 65 79 66 79
295 533 62 80 62 80
264 490 56 75 56 75
249 420 54 68 54 68
213 335 47 59 47 59
161 280 37 53 37 53
91 167 23 41 23 42
46 84 15 33 15 33
24 43 11 28 11 29
13 22 9 26 9 26
72 124 20 37 20 37
37 77 13 32 13 32
47 59 15 30 15 30
35 36 13 28 13 28
35 52 13 29 13 29
29 28 12 27 12 27
25 15 11 26 11 26
23 8 11 25 11 25
12 5 8 24 8 25
7 3 7 24 7 24
4 2 7 24 7 24
140 200 33 45 33 45
117 173 28 42 28 42
135 131 32 38 32 38
95 90 24 33 24 33
60 46 18 29 18 29
31 24 12 26 12 27
3856 296 739 55 740 55
3895 296 747 55 748 55
3911 296 750 55 751 55
3907 197 749 45 750 45
3934 117 754 36 755 36
3948 65 757 31 758 31
3971 39 761 28 762 28
3993 26 765 27 766 27
4016 20 770 26 771 26
4027 17 772 26 773 26
4033 15 773 26 774 26
4050 14 776 25 777 25
4080 0 782 24 783 24
3808 320 730 57 731 58
3879 347 744 60 745 60
3889 321 746 58 747 58
3912 319 750 57 751 58
3923 274 752 53 753 53
3961 216 759 47 760 47
3990 147 765 39 766 39
4004 74 768 32 768 32
4041 38 775 28 776 28
4067 20 779 26 780 26
4080 11 782 25 783 25
4087 6 783 25 784 25
4090 4 784 24 785 24
4095 0 785 24 786 24
3804 412 729 67 730 67
3851 397 738 66 739 66
3936 292 755 55 756 55
3979 229 763 48 764 48
4013 171 769 42 770 42
4038 94 774 34 775 34
4058 56 778 30 779 30
4068 29 780 27 781 27
4081 15 782 26 783 26
4087 8 783 25 784 25
4090 5 784 24 785 25
4092 3 784 24 785 24
3684 3556 707 397 708 398
3711 3556 712 397 713 398
3719 3597 713 401 714 402
3737 3688 717 411 718 412
3784 3765 726 419 727 420
3815 3818 732 424 732 425
3845 3856 737 428 738 429
3882 3875 744 430 745 431
3912 3893 750 432 751 433
3935 3950 754 438 755 439
3973 3919 762 435 763 436
4006 3974 768 441 769 442
4044 4014 775 445 776 446
4063 4034 779 447 780 448
4073 4044 781 448 782 449
4078 4069 782 451 783 452
4080 4081 782 452 783 453
4081 4087 782 452 783 453
4082 4090 782 453 783 454
4095 4095 785 453 786 454
3620 3516 694 393 695 393
3616 3588 694 400 695 401
3707 3731 711 415 712 416
3719 3731 713 415 714 416
3751 3753 719 417 720 418
3797 3792 728 422 729 422
3832 3845 735 427 736 428
4008 4024 768 446 769 447
4027 4075 772 451 773 452
4043 4075 775 451 776 452
4068 4075 780 451 781 452
4081 4075 782 451 783 452
4087 4084 783 452 784 453
4090 4089 784 453 785 454
4092 4091 784 453 785 454
4093 4092 784 453 785 454
4093 4093 784 453 785 454
3640 3600 698 401 699 402
3659 3600 702 401 703 402
3669 3623 704 404 705 405
3684 3677 707 410 708 410
